family,binomial,commonName,method,injection,testedOn,lethalDosage,yield,size,dentition
Elapidae,Pseudonaja textilis,Eastern brown snake,LD50,IV,Mouse,0.001,155,250,front-fanged
Elapidae,Notechis scutatus,Mainland tiger snake,LD50,IV,Mouse,0.01,636,290,front-fanged
Viperidae,Daboia russelii,Russell's viper,LD50,IV,Mouse,0.035,240,185,front-fanged
Elapidae,Naja siamensis,Indochinese spitting cobra,LD50,IV,Mouse,0.075,738,160,front-fanged
Viperidae,Echis carinatus,Saw scaled viper,LD50,IV,Mouse,0.12,72,90,front-fanged
Elapidae,Ophiophagus hannah,King cobra,LD50,IV,Mouse,0.125,500,585,front-fanged
Elapidae,Naja naja,Spectacled cobra,LD50,IV,Mouse,0.13,610,220,front-fanged
Elapidae,Oxyuranus scutellatus,Coastal taipan,LD50,IV,Mouse,0.155,882,366,front-fanged
Elapidae,Hydrophis stokesii,Large headed sea snake,LD50,IV,Mouse,0.164,150,200,front-fanged
Viperidae,Montivipera xanthina,Ottoman viper,LD50,IV,Mouse,0.228,18,150,front-fanged
Elapidae,Dendroaspis polylepis,Black mamba,LD50,IV,Mouse,0.264,400,430,front-fanged
Elapidae,Naja oxiana,Caspian cobra,LD50,IV,Mouse,0.272,590,190,front-fanged
Elapidae,Naja haje,Egyptian cobra,LD50,IV,Mouse,0.287,300,300,front-fanged
Elapidae,Naja nivea,Cape cobra,LD50,IV,Mouse,0.371,150,185,front-fanged
Viperidae,Deinagkistrodon acutus,Chinese sharp nosed pitviper,LD50,IV,Mouse,0.38,214,160,front-fanged
Elapidae,Dendroaspis angusticeps,Eastern green mamba,LD50,IV,Mouse,0.381,60,280,front-fanged
Viperidae,Bitis arietans,Puff adder,LD50,IV,Mouse,0.389,750,191,front-fanged
Elapidae,Naja pallida,Red spitting cobra,LD50,IV,Mouse,0.49,260,157,front-fanged
Viperidae,Cerastes vipera,Sahara sand viper,LD50,IV,Mouse,0.5,43,53,front-fanged
Viperidae,Macrovipera lebetinus,Levantine viper,LD50,IV,Mouse,0.568,150,214,front-fanged
Elapidae,Dendroaspis viridis,Western green mamba,LD50,IV,Mouse,0.667,100,250,front-fanged
Viperidae,Bothrops alternatus,Urutú,LD50,IV,Mouse,0.75,140,200,front-fanged
Viperidae,Agkistrodon bilineatus,Mexican cantil,LD50,IV,Mouse,0.8,688,141,front-fanged
Viperidae,Bothrops jararaca,Jararaca,LD50,IV,Mouse,0.835,70,240,front-fanged
Viperidae,Lachesis muta,Atlantic bushmaster,LD50,IV,Mouse,0.9,411,360,front-fanged
Viperidae,Crotalus pricei,Western twin spotted rattlesnake,LD50,IV,Mouse,0.95,8,66,front-fanged
Viperidae,Bitis nasicornis,Rhinoceros viper,LD50,IV,Mouse,1.056,300,150,front-fanged
Viperidae,Crotalus viridis,Prairie rattlesnake,LD50,IV,Mouse,1.1,390,160,front-fanged
Viperidae,Bitis caudalis,Horned puff adder,LD50,IV,Mouse,1.111,60,52,front-fanged
Elapidae,Hemachatus haemachatus,Rinkhals,LD50,IV,Mouse,1.15,120,150,front-fanged
Elapidae,Naja mossambica,Mozambique spitting cobra,LD50,IV,Mouse,1.16,656,154,front-fanged
Viperidae,Gloydius blomhoffii,Mamushi,LD50,IV,Mouse,1.32,7,91,front-fanged
Viperidae,Crotalus adamanteus,Eastern diamondback rattlesnake,LD50,IV,Mouse,1.333,848,251,front-fanged
Viperidae,Bothriechis schlegelii,Eyelash palm pitviper,LD50,IV,Mouse,1.6,20,90,front-fanged
Viperidae,Crotalus horridus,Timber rattlesnake,LD50,IV,Mouse,1.644,229,190,front-fanged
Viperidae,Crotalus ruber,Red diamond rattlesnake,LD50,IV,Mouse,2.17,707,183,front-fanged
Viperidae,Agkistrodon piscivorus,Cottonmouth,LD50,IV,Mouse,2.25,170,189,front-fanged
Viperidae,Metlapilcoatlus nummifer,Central american jumping pitviper,LD50,IV,Mouse,2.4,60,76.2,front-fanged
Viperidae,Protobothrops flavoviridis,Okinawa habu,LD50,IV,Mouse,2.5,353.8,300,front-fanged
Viperidae,Crotalus cerastes,Sidewinder rattlesnake,LD50,IV,Mouse,2.6,80,82,front-fanged
Viperidae,Crotalus molossus,Northern black tailed rattlesnake,LD50,IV,Mouse,2.63,540,140,front-fanged
Viperidae,Agkistrodon contortrix,Copperhead,LD50,IV,Mouse,2.711,75,135,front-fanged
Viperidae,Calloselasma rhodostoma,Malayan pitviper,LD50,IV,Mouse,2.82,60,120,front-fanged
